CD_NOM,GROUPTAXA,NOM_VALIDE
126846,Angiospermes,Torilis arvensis
141793,Angiospermes,Torilis arvensis subsp. arvensis
613622,Angiospermes,Torilis arvensis var. arvensis
613621,Angiospermes,Torilis arvensis var. anthriscoides
141797,Angiospermes,Torilis arvensis subsp. neglecta
126853,Angiospermes,Torilis elongata
126859,Angiospermes,Torilis japonica
718424,Angiospermes,Torilis japonica subsp. japonica
126861,Angiospermes,Torilis leptophylla
126865,Angiospermes,Torilis nodosa
141803,Angiospermes,Torilis nodosa subsp. nodosa
141805,Angiospermes,Torilis nodosa subsp. webbii
126875,Angiospermes,Torilis tenella
198745,Angiospermes,Turgenia
127988,Angiospermes,Turgenia latifolia
188862,Angiospermes,Aethusa
80358,Angiospermes,Aethusa cynapium
130873,Angiospermes,Aethusa cynapium subsp. cynapium
611902,Angiospermes,Aethusa cynapium subsp. elata
189167,Angiospermes,Angelica
82705,Angiospermes,Angelica archangelica
131413,Angiospermes,Angelica archangelica subsp. archangelica
131414,Angiospermes,Angelica archangelica subsp. litoralis
610714,Angiospermes,Angelica atropurpurea
610712,Angiospermes,Angelica gigas
82715,Angiospermes,Angelica heterocarpa
82742,Angiospermes,Angelica x mixta
610711,Angiospermes,Angelica pachycarpa
610713,Angiospermes,Angelica polymorpha
82733,Angiospermes,Angelica razulii
82738,Angiospermes,Angelica sylvestris
159536,Angiospermes,Angelica sylvestris subsp. sylvestris
612392,Angiospermes,Angelica sylvestris subsp. bernardae
190551,Angiospermes,Cervaria
90278,Angiospermes,Cervaria rivini
610637,Angiospermes,Cortia candollei
610638,Angiospermes,Cortia wallichiana
715621,Angiospermes,Dichoropetalum
717749,Angiospermes,Dichoropetalum carvifolia
717750,Angiospermes,Dichoropetalum schottii
192167,Angiospermes,Endressia
96079,Angiospermes,Endressia pyrenaica
192229,Angiospermes,Epikeros
96119,Angiospermes,Epikeros pyrenaeus
193596,Angiospermes,Imperatoria
103578,Angiospermes,Imperatoria ostruthium
193697,Angiospermes,Kadenia
104440,Angiospermes,Kadenia dubia
606930,Angiospermes,Libanotis
610580,Angiospermes,Libanotis pyrenaica
612646,Angiospermes,Libanotis pyrenaica subsp. pyrenaica
612645,Angiospermes,Libanotis pyrenaica subsp. intermedia
195524,Angiospermes,Oreoselinum
111250,Angiospermes,Oreoselinum nigrum
196018,Angiospermes,Peucedanum
159910,Angiospermes,Peucedanum coriaceum
159912,Angiospermes,Peucedanum coriaceum subsp. pospichalii
112853,Angiospermes,Peucedanum gallicum
112868,Angiospermes,Peucedanum officinale
138667,Angiospermes,Peucedanum officinale subsp. officinale
613154,Angiospermes,Peucedanum officinale var. officinale
613558,Angiospermes,Peucedanum officinale var. catalaunicum
112874,Angiospermes,Peucedanum paniculatum
196896,Angiospermes,Pteroselinum
116297,Angiospermes,Pteroselinum austriacum
197577,Angiospermes,Selinum
122326,Angiospermes,Selinum broteri
122329,Angiospermes,Selinum carvifolia
197619,Angiospermes,Seseli
122998,Angiospermes,Seseli annuum
141033,Angiospermes,Seseli annuum subsp. annuum
611924,Angiospermes,Seseli annuum subsp. carvifolium
123004,Angiospermes,Seseli bocconei
123015,Angiospermes,Seseli djianeae
123023,Angiospermes,Seseli galloprovinciale
611442,Angiospermes,Seseli gummiferum
123034,Angiospermes,Seseli longifolium
