CD_NOM,FAMILLE,NOM_VALIDE
923550,Apiaceae,Daucus carota var. maximus
133744,Apiaceae,Daucus carota subsp. sativus
611234,Apiaceae,Daucus crinitus
94515,Apiaceae,Daucus glochidiatus
611235,Apiaceae,Daucus gracilis
611236,Apiaceae,Daucus guttatus
611238,Apiaceae,Daucus littoralis
611232,Apiaceae,Daucus montevidensis
94539,Apiaceae,Daucus muricatus
611237,Apiaceae,Daucus sahariensis
191878,Apiaceae,Distichoselinum
160253,Apiaceae,Distichoselinum tenuifolium
606885,Apiaceae,Dorema
610582,Apiaceae,Dorema ammoniacum
192079,Apiaceae,Elaeoselinum
95844,Apiaceae,Elaeoselinum meoides
192548,Apiaceae,Ferula
98014,Apiaceae,Ferula arrigonii
98020,Apiaceae,Ferula communis
134477,Apiaceae,Ferula communis subsp. communis
613517,Apiaceae,Ferula communis var. communis
613518,Apiaceae,Ferula communis var. brevifolia
612467,Apiaceae,Ferula communis subsp. catalaunica
98023,Apiaceae,Ferula glauca
979351,Apiaceae,Ferula persica
610575,Apiaceae,Ferula tingitana
193864,Apiaceae,Laser
105055,Apiaceae,Laser trilobum
193865,Apiaceae,Laserpitium
105071,Apiaceae,Laserpitium gallicum
788987,Apiaceae,Laserpitium gallicum subsp. gallicum
105074,Apiaceae,Laserpitium halleri
137102,Apiaceae,Laserpitium halleri subsp. halleri
137101,Apiaceae,Laserpitium halleri subsp. cynapiifolium
105099,Apiaceae,Laserpitium x besseanum
105100,Apiaceae,Laserpitium x gaveanum
105076,Apiaceae,Laserpitium latifolium
718371,Apiaceae,Laserpitium latifolium subsp. latifolium
105081,Apiaceae,Laserpitium nestleri
718372,Apiaceae,Laserpitium nestleri subsp. nestleri
105086,Apiaceae,Laserpitium prutenicum
137107,Apiaceae,Laserpitium prutenicum subsp. prutenicum
137106,Apiaceae,Laserpitium prutenicum subsp. dufourianum
105092,Apiaceae,Laserpitium siler
195023,Apiaceae,Myrrhis
109161,Apiaceae,Myrrhis odorata
195532,Apiaceae,Orlaya
111297,Apiaceae,Orlaya grandiflora
111301,Apiaceae,Orlaya platycarpos
196809,Apiaceae,Pseudorlaya
116209,Apiaceae,Pseudorlaya minuscula
116210,Apiaceae,Pseudorlaya pumila
613123,Apiaceae,Pseudorlaya pumila var. pumila
718758,Apiaceae,Pseudorlaya pumila var. microcarpa
197277,Apiaceae,Rouya
118900,Apiaceae,Rouya polygama
197407,Apiaceae,Scandix
121430,Apiaceae,Scandix australis
140743,Apiaceae,Scandix australis subsp. australis
140747,Apiaceae,Scandix australis subsp. grandiflora
121431,Apiaceae,Scandix balansae
121449,Apiaceae,Scandix pecten-veneris
140752,Apiaceae,Scandix pecten-veneris subsp. pecten-veneris
140749,Apiaceae,Scandix pecten-veneris subsp. brachycarpa
140750,Apiaceae,Scandix pecten-veneris subsp. hispanica
121455,Apiaceae,Scandix stellata
198366,Apiaceae,Thapsia
126248,Apiaceae,Thapsia villosa
613619,Apiaceae,Thapsia villosa var. villosa
613620,Apiaceae,Thapsia villosa var. latifolia
198509,Apiaceae,Torilis
611567,Apiaceae,Torilis africana
613703,Apiaceae,Torilis africana var. africana
613702,Apiaceae,Torilis africana var. heterophylla
126846,Apiaceae,Torilis arvensis
141793,Apiaceae,Torilis arvensis subsp. arvensis
613622,Apiaceae,Torilis arvensis var. arvensis
613621,Apiaceae,Torilis arvensis var. anthriscoides
141797,Apiaceae,Torilis arvensis subsp. neglecta
126853,Apiaceae,Torilis elongata
126859,Apiaceae,Torilis japonica
718424,Apiaceae,Torilis japonica subsp. japonica
126861,Apiaceae,Torilis leptophylla
126865,Apiaceae,Torilis nodosa
141803,Apiaceae,Torilis nodosa subsp. nodosa
141805,Apiaceae,Torilis nodosa subsp. webbii
126875,Apiaceae,Torilis tenella
198745,Apiaceae,Turgenia
127988,Apiaceae,Turgenia latifolia
188862,Apiaceae,Aethusa
80358,Apiaceae,Aethusa cynapium
130873,Apiaceae,Aethusa cynapium subsp. cynapium
611902,Apiaceae,Aethusa cynapium subsp. elata
189167,Apiaceae,Angelica
82705,Apiaceae,Angelica archangelica
131413,Apiaceae,Angelica archangelica subsp. archangelica
131414,Apiaceae,Angelica archangelica subsp. litoralis
610714,Apiaceae,Angelica atropurpurea
610712,Apiaceae,Angelica gigas
82715,Apiaceae,Angelica heterocarpa
82742,Apiaceae,Angelica x mixta
610711,Apiaceae,Angelica pachycarpa
610713,Apiaceae,Angelica polymorpha
82733,Apiaceae,Angelica razulii
82738,Apiaceae,Angelica sylvestris
159536,Apiaceae,Angelica sylvestris subsp. sylvestris
612392,Apiaceae,Angelica sylvestris subsp. bernardae
190551,Apiaceae,Cervaria
90278,Apiaceae,Cervaria rivini
610637,Apiaceae,Cortia candollei
610638,Apiaceae,Cortia wallichiana
715621,Apiaceae,Dichoropetalum
717749,Apiaceae,Dichoropetalum carvifolia
717750,Apiaceae,Dichoropetalum schottii
192167,Apiaceae,Endressia
96079,Apiaceae,Endressia pyrenaica
192229,Apiaceae,Epikeros
96119,Apiaceae,Epikeros pyrenaeus
193596,Apiaceae,Imperatoria
103578,Apiaceae,Imperatoria ostruthium
193697,Apiaceae,Kadenia
104440,Apiaceae,Kadenia dubia
606930,Apiaceae,Libanotis
610580,Apiaceae,Libanotis pyrenaica
612646,Apiaceae,Libanotis pyrenaica subsp. pyrenaica
612645,Apiaceae,Libanotis pyrenaica subsp. intermedia
195524,Apiaceae,Oreoselinum
111250,Apiaceae,Oreoselinum nigrum
196018,Apiaceae,Peucedanum
159910,Apiaceae,Peucedanum coriaceum
159912,Apiaceae,Peucedanum coriaceum subsp. pospichalii
112853,Apiaceae,Peucedanum gallicum
112868,Apiaceae,Peucedanum officinale
138667,Apiaceae,Peucedanum officinale subsp. officinale
613154,Apiaceae,Peucedanum officinale var. officinale
613558,Apiaceae,Peucedanum officinale var. catalaunicum
112874,Apiaceae,Peucedanum paniculatum
196896,Apiaceae,Pteroselinum
